0.805315,0.743307,0.547279,0.328044,0.056359,0.054637,0.167307,0.248860,0.854541
0.650465,0.850806,0.331955,0.817735,0.119171,0.109433,0.262414,0.118448,0.665382
0.806118,0.795299,0.293779,0.465410,0.103402,0.122781,0.194459,0.065808,0.640722
0.634651,0.637711,0.275568,0.700136,0.456464,0.577657,0.456124,0.166974,0.520276
0.638419,0.364318,0.923755,0.772782,0.040760,0.015183,0.015997,0.027419,0.264787
0.502575,0.867215,0.593725,0.700449,0.116774,0.192836,0.255665,0.162525,0.902748
0.782832,0.689638,0.538307,0.435949,0.048162,0.069561,0.154805,0.253320,0.883945
0.819446,0.535180,0.209014,0.424070,0.778723,0.743858,0.354580,0.799517,0.400206
0.850698,0.068961,0.783644,0.565458,0.023494,0.043040,0.012364,0.018678,0.489464
0.760255,0.091840,0.778613,0.611100,0.028917,0.043359,0.012454,0.016266,0.396802
0.613761,0.697319,0.465872,0.726651,0.248950,0.376154,0.661222,0.212380,0.786218
0.719774,0.661829,0.454533,0.377561,0.643966,0.665022,0.409544,0.817979,0.649164
0.816994,0.579383,0.508563,0.636367,0.609920,0.612225,0.429026,0.841301,0.669138
0.671418,0.594190,0.267006,0.835469,0.505104,0.548561,0.507015,0.204139,0.459950
0.544792,0.771001,0.386764,0.755563,0.214034,0.378496,0.624519,0.264197,0.781238
0.423975,0.577173,0.307841,0.398375,0.752031,0.689418,0.348696,0.843943,0.480889
0.591565,0.306065,0.868531,0.832945,0.042083,0.014500,0.016599,0.024480,0.193132
0.733783,0.816292,0.430768,0.722752,0.517937,0.451209,0.695502,0.418821,0.730167
0.605329,0.915161,0.612779,0.180409,0.053627,0.069822,0.134645,0.299315,0.879947
0.868464,0.852094,0.389889,0.234865,0.047693,0.046989,0.132291,0.317176,0.765497
0.782786,0.838573,0.468519,0.350847,0.051541,0.070409,0.145334,0.271085,0.843917
0.842364,0.798666,0.157902,0.445717,0.127776,0.110786,0.188378,0.067748,0.464012
0.868412,0.863081,0.403415,0.256375,0.069011,0.051661,0.133070,0.249668,0.690581
0.590398,0.435593,0.422646,0.327910,0.676090,0.711662,0.396188,0.725164,0.515464
0.837495,0.792227,0.357226,0.484077,0.112478,0.101944,0.183311,0.064585,0.626500
0.640111,0.678693,0.380299,0.624854,0.251886,0.336057,0.671000,0.219751,0.744928
0.897299,0.839778,0.550498,0.578854,0.140655,0.163898,0.185629,0.121815,0.815370
0.737206,0.100571,0.819499,0.627694,0.027330,0.045027,0.014759,0.019720,0.372778
0.557420,0.394460,0.169767,0.518333,0.774342,0.706689,0.355200,0.772787,0.311257
0.602614,0.723197,0.490771,0.715702,0.222415,0.351672,0.639349,0.357210,0.810007
0.627568,0.615764,0.205591,0.671919,0.496754,0.510646,0.474847,0.177638,0.444574
0.540629,0.780614,0.373780,0.694286,0.232740,0.391336,0.635799,0.243550,0.773676
0.590002,0.815662,0.242951,0.682457,0.128514,0.128082,0.258639,0.098063,0.587736
0.796958,0.805329,0.441068,0.425239,0.048711,0.054358,0.151448,0.284806,0.819848
0.755622,0.880352,0.606023,0.865812,0.118065,0.187070,0.218939,0.209864,0.932629
0.777874,0.112805,0.761743,0.301482,0.021592,0.039429,0.012202,0.020439,0.422683
0.793560,0.807409,0.507613,0.752364,0.387838,0.598949,0.753523,0.237252,0.860004
0.890982,0.874062,0.654107,0.695534,0.126949,0.204019,0.187728,0.156691,0.932703
0.590849,0.236606,0.858417,0.320222,0.047519,0.012599,0.013487,0.021592,0.172880
0.697065,0.541882,0.399331,0.459384,0.662407,0.631281,0.309112,0.769966,0.538068
0.778870,0.990000,0.472185,0.297164,0.063317,0.071324,0.130081,0.295671,0.814331
0.764644,0.592965,0.417306,0.358625,0.619334,0.641703,0.376548,0.852395,0.596146
0.832052,0.857483,0.469164,0.890536,0.591711,0.434188,0.722484,0.670295,0.752084
0.875815,0.861860,0.170741,0.514890,0.122371,0.096093,0.208109,0.073158,0.494703
